surah,verse,word_index,original_word,synonyms_pipe,fragility,delta_rhyme,delta_hapax_end,delta_divine_name,delta_gzip,delta_palindrome,delta_saj
1,2,2,لله,هود2|روم|مدين,0.04289045999174789,0.0,0.0,0.0,0.06849613547708179,0.0,0.18884662447340556
1,4,3,الدين,عشاء|كلب|مواقعو,0.19069426240141954,0.6189226647069174,0.21856737478251206,0.0,0.09868497888026943,0.0,0.20799055603881847
1,7,6,المغضوب,معصرت|مبنية|رعايت,0.025244698424891632,0.0,0.0,0.0,0.0348523630665135,0.0,0.1166158274828363
1,1,4,الرحيم,ظالم|مؤمنة|مرقوم,0.22336923289716837,0.0,0.0,1.0337221229046423,0.13247289529799686,0.0,0.17402037918037097
1,4,1,مالك,بارد|عمت|خفيف,0.03169406145644099,0.0,0.0,0.0,0.040522130308885254,0.0,0.1496422384297607
1,1,1,بسم,م#ارب|ءازفة|رواكد,0.04012379364785964,0.0,0.0,0.0,0.03662485143789322,0.0,0.2041179104492646
1,3,1,الرحمن,وجلة|مسلمت|كثيرة,0.2065486995048981,0.0,0.0,1.0337221229046423,0.1243906759087021,0.0,0.08117939821604428
1,7,9,الضالين,تقدير|مثقال|عفريت,0.18100995204524384,0.6189226647069174,0.21856737478251206,0.0,0.06781514018363786,0.0,0.18075453259839566
2,125,21,والركع,عصا2|املق|خزنين,0.00027998214702235974,0.0,0.0,0.0,0.0005129445633732856,0.0,0.0011669483187608726
2,203,4,ايام,جناح|ذرة|رضي,7.194623787156525e-05,0.0,0.0,0.0,8.713470316243814e-05,0.0,0.00034454272406695335
2,255,41,وسع,انطق|التفت|تحلق,0.00021100585699413408,0.0,0.0,0.0,4.392990504301455e-05,0.0,0.00122210523692179
2,196,16,الهدي,مخلدون|زحف|مسكنة,0.00024323764367904213,0.0,0.0,0.0,0.00037051123946794153,0.0,0.0010889146226063112
2,273,14,اغنياء,سواء|انتقام|عدون,0.0001627477064293585,0.0,0.0,0.0,0.00013143246220527388,0.0,0.0008450537763708772
